105,Eta Scl,2429,342.36,-82.23,4.81,  M4III             
106,48    Psc,2436,114.89,-46.06,6.06,  K5III             
107,,2454,113.62,-52.26,6.04,  F6Va vw           
108,,2475,83.87,-81.4,6.43,  G0V               
109,,2490,321.94,-76.35,5.43,  M0III             
110,,2507,117.94,-25.75,6.26,  G5III             
111,,2529,311.91,-66.2,6.26,  K0III             
112,,2589,121.74,14.2,6.21,  K0IV              
113,,2626,120.29,-2.79,5.94,  B9IIIn            
114,28    And,2628,117.42,-32.89,5.23,  A7III             
115,,2630,99.58,-76.75,6.14,  F2III             
116,,2632,344.92,-83.15,6.57,  K4III             
117,12    Cet,2637,109.57,-66.27,5.72,  M0III             
118,,2696,66.87,-84.19,5.19,  A5Vn              
119,,2724,318.97,-75.53,6.19,  F2III             
120,,2726,312.52,-68.52,5.69,  F2V               
121,13    Cas,2729,120.94,3.73,6.18,  B6V               
122,,2767,118.16,-29.1,5.87,  K1III             
123,14Lam Cas,2772,120.05,-8.24,4.73,  B8Vn              
124,,2774,119.91,-9.92,5.6,  K2III             
125,Lam1Phe,2834,311.75,-67.98,4.77,  A0V               
126,Bet1Tuc,2884,306.78,-54.02,4.37,  B9V               
127,Bet2Tuc,2885,306.78,-54.01,4.54,  A2V+A7V           
128,,2888,119.29,-19.24,6.7,  A1Vn              
129,,2904,121.44,8.16,6.42,  A0Vn              
130,15Kap Cas,2905,120.84,0.14,4.16,  B1Ia              
131,52    Psc,2910,116.94,-42.36,5.38,  K0III             
132,51    Psc,2913,114.55,-55.61,5.67,  B9.5V             
133,,2924,117.82,-35.1,6.67,  A2IV              
134,,2942,117.96,-34.41,6.3,  K0III             
135,,2952,120.28,-7.88,5.93,  K0III             
136,Bet3Tuc,3003,306.54,-53.97,5.09,  A0V               
137,16    Cas,3038,121.25,3.93,6.48,  B9III             
138,,3059,0.01,-85.4,5.55,  K2III             
139,The Tuc,3112,305.01,-45.79,6.13,  A7IV              
140,,3158,308.97,-64.55,5.57,  F3IV-V            
141,,3166,116.77,-49.3,6.4,  K0                
142,13    Cet,3196,112.89,-66.15,5.2,  F8V               
143,14    Cet,3229,114.12,-63.1,5.93,  F5IV              
144,,3240,120.67,-8.64,5.08,  B7III             
145,,3268,117.11,-49.49,6.41,  F7V               
146,,3283,121.08,-2.49,5.79,  A4III             
147,Lam2Phe,3302,310.27,-68.9,5.51,  F6V               
148,,3303,307.83,-62.16,6.06,  K0IV              
149,,3322,118.81,-35.5,6.5,  B8IIIpHgMn:       
150,,3325,105.75,-77.33,6.45,  G9III             
151,,3326,83.1,-84.48,6.06,  A6pSr             
152,,3346,120.18,-18.31,5.13,  K5-M0III          
153,17Zet Cas,3360,120.78,-8.91,3.66,  B2IV              
154,29Pi  And,3369,119.47,-29.05,4.36,  B5V               
155,53    Psc,3379,117.7,-47.49,5.89,  B2.5IV            
156,,3411,118.74,-38.74,6.47,  K2III             
157,,3421,119.7,-27.38,5.48,  G2.5IIa           
158,,3440,122.53,19.63,6.4, dF6                
159,,3443,68.68,-86.03,5.57,  G8V               
160,,3444,305.46,-51.93,6.42,  K2-3III           
161,,3457,116.06,-59.55,6.39,  K4III             
162,,3488,307.41,-62.61,6.41,  K0II-IIICNIV      
163,30Eps And,3546,119.57,-33.47,4.37,  G6IIIFe-3CH1      
164,,3574,120.88,-13.47,5.43,  K7III             
165,31Del And,3627,119.87,-31.94,3.27,  K3III             
166,54    Psc,3651,119.18,-41.53,5.87,  K0+V              
167,55    Psc,3690,119.36,-41.35,5.36,  K0III+F3V         
168,18Alp Cas,3712,121.42,-6.3,2.23,  K0IIIa            
169,,3719,304.22,-43.96,6.85,  A1m               
170,,3735,322.13,-82.73,6.69,  F8V               
171,,3750,309.65,-72.18,6.01,  K1IIICNII         
