244.7005,-39.6899,272151,11.4,K2
244.9878,-39.8667,272152,11.4,K7
245.2175,-39.9452,272153,12,K0
245.2665,-39.9606,272154,11.5,K7
245.331,-39.9789,272155,12,K7
245.4104,-39.8713,272156,11.3,K7
245.6216,-39.8865,272157,11.2,K2
245.712,-39.7905,272158,11.4,K2
245.9198,-39.7845,272159,11.3,K5
246.0461,-39.8404,272160,11.8,K7
245.8307,-40.2042,272161,11.5,G5
246.0941,-40.1998,272162,11.1,K0
246.2064,-40.0849,272163,11.4,K0
246.2332,-39.9051,272164,11.8,G5
246.4146,-40.0378,272165,11.2,K0
246.7499,-40.263,272166,11.6,K5
246.7552,-40.1069,272167,11.2,G0
246.9094,-39.8994,272168,8.9,A0
247.1783,-39.9411,272169,10.8,F2
247.0691,-40.0938,272170,12,F5
247.0604,-40.1614,272171,11.9,K0
247.2602,-40.0952,272172,11.3,K7
247.2706,-40.0331,272173,12.3,F 
247.456,-40.1148,272174,11.7,G5
247.5088,-40.0812,272175,11.5,K5
247.5509,-40.0425,272176,12,F5
247.4954,-40.3024,272177,11.8,G5
247.5579,-40.2934,272178,11.9,K5
247.7014,-40.368,272179,11.7,K7
247.7343,-40.179,272180,10.8,G0
247.7831,-40.246,272181,9.8,F5
247.9266,-40.3008,272182,11.7,K2
248.0073,-40.4182,272183,11.5,K0
248.0078,-40.2978,272184,11.5,K7
248.0029,-40.2651,272185,11.9,K 
248.0968,-40.1581,272186,10.7,G0
247.9767,-39.971,272187,11.5,K7
247.8006,-39.9804,272188,11,K0
247.9174,-39.9104,272189,9.7,F2
247.9656,-39.8875,272190,12,K0
248.1265,-39.8843,272191,10.4,G0
248.3514,-39.955,272192,11,K0
248.4679,-40.2672,272193,11.8,G5
248.532,-40.363,272194,11.9,G 
244.7115,-39.4439,272195,11.2,K2
244.732,-39.4777,272196,11.2,K7
244.7428,-39.5666,272197,11.6,K5
244.9589,-39.4715,272198,12,K7
244.882,-39.4092,272199,11.3,F8
244.9297,-39.2525,272200,10.7,G5
244.8361,-39.0988,272201,11.3,G5
245.0998,-39.1443,272202,11.9,K0
245.3061,-39.3641,272203,11.4,K0
245.3486,-39.4816,272204,11.3,K5
245.3688,-39.3779,272205,12,K7
245.4122,-39.2972,272206,11.9,K5
245.6966,-39.0633,272207,11.8,K2
245.5988,-39.2869,272208,12,K7
245.7504,-39.3985,272209,11.4,G5
245.527,-39.549,272210,11.6,K5
245.6849,-39.7125,272211,11.7,K5
245.8482,-39.4001,272212,11.8,F5
245.9665,-39.1953,272213,11.8,G5
245.991,-39.2372,272214,11.1,K2
246.0017,-39.4298,272215,11.1,F5
246.3136,-39.426,272216,11.5,G5
246.2162,-39.7674,272217,11.4,K0
246.5893,-39.6511,272218,11.7,K0
246.4975,-39.3369,272219,11.5,K0
246.5667,-39.153,272220,11.6,F8
246.7356,-39.2733,272221,11.6,K7
246.7616,-39.3339,272222,11.3,K0
246.7224,-39.5548,272223,11.6,K5
246.9066,-39.5539,272224,11.9,K0
246.9284,-39.6314,272225,11.7,G5
246.8509,-39.7499,272226,11.6,K7
247.1288,-39.8038,272227,9.6,A2
247.3929,-39.6492,272228,11.9,K7
247.3332,-39.4308,272229,11.9,K5
247.1939,-39.2052,272230,10.6,F0
247.2401,-39.2311,272231,11.2,G5
247.677,-39.348,272232,11.5,K7
247.5568,-39.5307,272233,11.5,K5
247.4882,-39.6652,272234,11.3,F8
247.6244,-39.7242,272235,10.7,G0
247.9038,-39.7522,272236,11.5,G5
248.025,-39.7421,272237,11.9,K0
248.219,-39.6486,272238,10.9,F5
247.8638,-39.4132,272239,12.1,F2
248.1401,-39.477,272240,11.9,G5
248.3823,-39.5754,272241,11.7,K2
248.4064,-39.5348,272242,11.5,F2
248.4893,-39.4462,272243,11.5,F8
248.6349,-39.2774,272244,11.1,K2
248.4601,-39.6503,272245,10.5,G5
248.397,-39.7086,272246,11.5,G 
248.4329,-39.8206,272247,9.6,F8
248.6496,-39.7816,272248,11.2,K2
248.5938,-39.7092,272249,11.6,F5
244.7558,-38.8524,272250,9.6,A2
244.8375,-38.6115,272251,11.1,G5
244.7749,-38.53,272252,11.2,K5
245.1553,-38.4061,272253,11.5,K5
245.2519,-38.4176,272254,11.8,K5
245.6483,-38.7818,272255,11.1,G5
245.6879,-38.8508,272256,10.8,G5
245.6703,-38.9161,272257,11.2,G0
245.7332,-38.939,272258,11.4,K0
245.9094,-38.9418,272259,11.4,G5
245.9757,-38.9017,272260,11.7,G5
245.8778,-38.6891,272261,11.3,K7
245.8407,-38.6467,272262,11.7,K2
246.0328,-38.5351,272263,11,K0
246.0789,-38.7797,272264,9.5,K7
246.1505,-38.8822,272265,11.7,G0
246.195,-38.9616,272266,11.6,G5
246.078,-39.0707,272267,11.8,G5
246.3249,-38.9853,272268,11.3,G0
246.2709,-38.9226,272269,11.2,A3
246.2624,-38.8142,272270,11.7,K5
246.1997,-38.7278,272271,11.8,K7
246.2767,-38.6781,272272,10.1,K0
246.4275,-38.5994,272273,11.6,K2
246.5701,-38.6582,272274,10.7,A3
246.5827,-38.7323,272275,11.6,G5
246.671,-38.8468,272276,10.9,G0
246.7425,-38.7994,272277,11,G5
246.7043,-38.6019,272278,11.9,K2
246.8955,-38.6945,272279,11.6,F5
246.7619,-38.9521,272280,11.7,G0
246.8813,-38.853,272281,11.8,K7
246.9541,-38.6687,272282,11.8,K0
247.0488,-38.6243,272283,10.4,G0
247.3769,-38.5562,272284,11,F0
247.2371,-38.6642,272285,11,F2
247.2246,-38.9129,272286,10.6,G5
247.0509,-38.9714,272287,11.8,G0
247.2302,-39.0427,272288,11,K2
247.2734,-39.0634,272289,11.3,G5
247.377,-39.1426,272290,11,G0
247.5639,-39.1897,272291,11.5,F5
247.5021,-39.1227,272292,12,K 
247.4247,-39.0541,272293,10.9,A2
247.643,-38.6136,272294,11.5,G5
247.6739,-38.6249,272295,11.5,K7
247.7398,-38.7265,272296,11.6,G5
247.6109,-39.0482,272297,11.8,K2
247.64,-39.0878,272298,11.7,G5
247.8685,-38.9895,272299,11.4,G0
247.883,-38.853,272300,11.5,K7
248.2422,-38.6348,272301,11.4,A5
248.0482,-38.9048,272302,11,F5
248.0578,-38.9494,272303,11.5,K5
248.0566,-39.1555,272304,11.8,G 
248.0406,-39.1923,272305,11.5,F8
248.2381,-38.9686,272306,10.3,F5
248.3436,-39.0206,272307,12,G 
248.4387,-39.0452,272308,11.8,K0
248.3645,-38.8728,272309,11.2,G5
248.3777,-38.7986,272310,9.5,K2
248.4276,-38.7214,272311,10.3,G0
248.5599,-38.8827,272312,11.5,K 
244.8181,-38.1803,272313,11.8,K7
245.0751,-38.3042,272314,11.8,K2
245.1619,-38.1894,272315,12,K5
245.068,-37.9979,272316,9.8,K0
245.0126,-37.9148,272317,11.8,K7
245.1754,-38.0048,272318,11,F0
245.2573,-37.9716,272319,11.5,K5
245.4369,-38.0173,272320,11.5,K5
245.4815,-38.0405,272321,11.5,K5
245.2762,-38.1774,272322,11.9,K0
245.4907,-38.2824,272323,11.6,K0
245.5602,-38.261,272324,11.6,K5
245.5587,-38.3645,272325,11.6,G0
245.7455,-38.4236,272326,11.2,K2
245.8513,-38.4394,272327,12.2,K7
245.9025,-38.0676,272328,11.7,K0
245.7941,-37.9241,272329,11.6,K0
246.3622,-38.079,272330,11.6,F2
246.2223,-38.3009,272331,11.3,G5
246.1077,-38.415,272332,11.6,G 
246.4061,-38.2295,272333,11.3,G5
246.5166,-38.0436,272334,11.6,G5
246.5905,-38.0049,272335,13,K7
246.8403,-38.0642,272336,11.2,K0
246.6753,-38.1551,272337,11.7,F5
246.6031,-38.2987,272338,11.9,K7
247.0694,-38.4391,272339,11.7,K0
247.0088,-38.3528,272340,11.6,K2
247.0638,-38.2789,272341,11.7,K7
247.1598,-38.1295,272342,11,K2
247.1805,-38.0665,272343,11.7,G5
247.3566,-38.109,272344,11.3,F5
247.4721,-38.1476,272345,11.5,M0
247.3055,-38.4824,272346,11.5,K 
247.5963,-38.4015,272347,10.2,G0
247.6691,-38.3643,272348,10.8,F8
247.8177,-38.4638,272349,11.5,F5
247.8714,-38.5392,272350,11.5,F5
247.9121,-38.5492,272351,11.5,F 
247.7003,-38.1364,272352,11.5,F5
247.9592,-38.1077,272353,10.6,G0
248.0622,-38.0175,272354,11.7,F8
248.0453,-38.262,272355,11,G0
248.2398,-38.01,272356,10.4,F0
248.4238,-38.0229,272357,11.5,K0
248.6408,-38.2416,272358,11.5,G 
248.2912,-38.4198,272359,11.6,F8
248.4875,-38.3856,272360,11.7,K0
152.1459,-16.1518,275122,10.7,K7
248.4744,-38.4598,272361,11.7,G5
248.4459,-38.5437,272362,11.4,K7
244.8945,-37.65,272363,11.3,K0
244.9532,-37.7604,272364,9.6,K5
244.976,-37.5777,272365,11.2,K5
245.0822,-37.4015,272366,11.8,K0
245.1163,-37.5521,272367,11.6,K7
245.3167,-37.472,272368,10.2,K7
245.2114,-37.5932,272369,11.7,G5
245.19,-37.7525,272370,11.7,K2
245.2041,-37.7431,272371,12.1,K5
245.4144,-37.743,272372,11.6,K7
245.501,-37.7233,272373,11.9,F8
245.5749,-37.6315,272374,11.9,K0
245.446,-37.5013,272375,11.9,F8
245.5134,-37.4726,272376,11.8,K0
245.5839,-37.5394,272377,11.8,K7
245.6637,-37.6353,272378,13,G 
245.9538,-37.4454,272379,10.8,G5
246.1134,-37.7347,272380,11.7,K5
246.1982,-37.7338,272381,12,K7
246.1711,-37.6435,272382,11.9,K0
246.3361,-37.6573,272383,11.7,K0
246.5763,-37.6508,272384,10.6,F8
246.5792,-37.8318,272385,11.5,K7
246.8684,-37.74,272386,11,F5
246.9271,-37.525,272387,11.7,G5
247.1126,-37.6006,272388,11.7,A7
247.2162,-37.5703,272389,11.5,G5
247.2561,-37.4666,272390,11.7,K0
247.2446,-37.4449,272391,11.3,F5
247.2528,-37.4545,272392,10.7,K0
247.2749,-37.4936,272393,11.7,K0
247.3135,-37.688,272394,11.7,F5
247.1427,-37.8337,272395,11.2,K2
247.4672,-37.5987,272396,11.5,G0
247.5154,-37.5032,272397,12.2,F8
247.7279,-37.5282,272398,11.1,G5
247.8322,-37.6533,272399,11.8,K2
247.8713,-37.602,272400,9.9,F5
247.9485,-37.539,272401,11.4,G0
248.0429,-37.5324,272402,11.8,F8
247.8153,-37.9429,272403,11,K2
247.8303,-37.9064,272404,11.1,A2
247.9154,-37.937,272405,11.7,G0
247.9633,-37.8844,272406,11.5,K0
248.0301,-37.8418,272407,11.7,K0
248.4374,-37.8552,272408,10.1,F2
248.365,-37.7212,272409,11.3,K0
248.8494,-40.1671,272410,9.3,K7
248.9007,-40.4361,272411,11.5,G5
249.0263,-40.515,272412,9.8,G0
249.2143,-40.2051,272413,9.8,F8
249.2559,-40.4129,272414,11.9,M 
249.3389,-40.3196,272415,9.8,G5
249.4523,-40.3675,272416,9.8,F8
249.4802,-40.2587,272417,11.1,K0
249.5078,-40.2289,272418,11.3,F8
249.621,-40.2107,272419,11.2,G5
249.631,-40.2614,272420,10.4,K5
249.8629,-40.1412,272421,10.4,K2
249.7689,-40.4083,272422,11.5,F5
249.8521,-40.4173,272423,9.8,G0
249.742,-40.6022,272424,10.5,F2
250.1993,-40.3919,272425,10.8,F2
250.2319,-40.3326,272426,11.8,G5
250.206,-40.2817,272427,11.2,F8
250.5641,-40.1633,272428,12.4,G5
250.6628,-40.296,272429,11.5,K0
250.636,-40.4041,272430,12.2,F2
250.6803,-40.3903,272431,11.6,G5
250.8145,-40.3406,272432,12.1,F5
250.7439,-40.3085,272433,12.2,G5
250.7242,-40.1898,272434,11.1,K0
251.0997,-40.6068,272435,11.6,F5
251.1447,-40.6639,272436,12,F8
251.2668,-40.5027,272437,11.2,G5
251.3151,-40.2247,272438,12,F0
251.5706,-40.194,272439,12.2,F8
251.5692,-40.4533,272440,12.1,F5
251.5277,-40.7413,272441,10.8,A3
251.9669,-40.4258,272442,9.6,K5
251.798,-40.2541,272443,11.7,G0
251.8678,-40.1422,272444,10.6,K0
251.9216,-40.2528,272445,11.2,F5
252.2603,-40.1878,272446,9.6,A2
252.3816,-40.2456,272447,11.4,F8
252.4201,-40.5742,272448,10.5,G0
252.2248,-40.7265,272449,11.2,K0
252.5368,-40.7434,272450,11.7,F8
252.4899,-40.7006,272451,11.8,K0
252.5859,-40.6238,272452,10.2,K0
252.756,-40.6053,272453,11.8,F8
252.8041,-40.591,272454,11.6,G5
248.8549,-40.0007,272455,11.5,G5
248.8366,-39.8927,272456,11.4,K0
248.9601,-39.7532,272457,11.8,F5
249.0524,-39.5824,272458,11.6,F5
249.052,-39.7338,272459,11.5,G0
249.0258,-39.9703,272460,12.5,K2
249.3084,-39.5832,272461,11,G0
249.3792,-39.5227,272462,11.9,F8
249.5259,-39.51,272463,11.6,F5
249.582,-39.5647,272464,10.5,K0
249.6373,-39.5603,272465,10.4,F5
249.7101,-39.5057,272466,11.4,G0
249.8921,-39.5604,272467,11.4,K7
249.8372,-39.608,272468,11.4,F2
249.53,-39.677,272469,10.2,F5
249.503,-39.8432,272470,11.7,G 
249.4862,-39.8607,272471,11.2,F8
249.3721,-39.9885,272472,11.2,K0
249.7241,-39.8814,272473,12,F5
249.91,-39.8749,272474,11.4,K5
249.9404,-39.8266,272475,11.2,F8
250.0229,-39.5989,272476,11.5,K5
250.1689,-39.5519,272477,12.7,G5
250.1525,-39.7661,272478,12.4,G5
250.2536,-39.9182,272479,12.8,K 
250.3724,-39.8209,272480,11.8,G5
